id,name,description,duration
0,"Il Padrino","La storia epica di una famiglia mafiosa","2h 55m"
1,"Pulp Fiction","Un intricato intreccio di storie criminali","2h 34m"
2,"La La Land","Una storia d'amore ambientata nel mondo del cinema","2h 8m"
3,"Interstellar","Un viaggio spaziale avventuroso e commovente","2h 49m"
4,"Il Signore degli Anelli: Il Ritorno del Re","La battaglia finale per la salvezza della Terra di Mezzo","3h 21m"
5,"Inception","Un thriller psicologico sul potere dei sogni","2h 28m"
6,"Forrest Gump","La straordinaria vita di un uomo semplice","2h 22m"
7,"Fight Club","La ribellione contro la società consumistica","2h 19m"
8,"Il Gladiatore","La storia di un generale romano che combatte per la sua libertà","2h 51m"
9,"Il Cigno Nero","La lotta di una ballerina per la perfezione","1h 48m"
10,"La Vita è Bella","Una commedia drammatica ambientata durante l'Olocausto","1h 56m"
11,"Schindler's List","La storia vera di un uomo che salva ebrei durante l'Olocausto","3h 15m"
12,"The Shawshank Redemption","La speranza in un contesto carcerario","2h 22m"
13,"The Godfather: Part II","La storia della famiglia Corleone e della loro ascesa nel crimine","3h 22m"
14,"The Dark Knight","Un'avventura oscura del supereroe Batman","2h 32m"
15,"The Avengers","L'unione dei supereroi Marvel per salvare il mondo","2h 23m"
16,"Titanic","Una storia d'amore a bordo di una nave destinata a sprofondare","3h 14m"
17,"Eternal Sunshine of the Spotless Mind","La rimozione selettiva dei ricordi in una relazione complicata","1h 48m"
18,"The Matrix","Un'avventura di realtà virtuale e ribellione","2h 16m"
19,"Seven","Un thriller psicologico sulla caccia a un serial killer","2h 7m"
